datetime,option_symbol,action,order_size
2024-01-02T17:12:08.455861547Z,SPX   240315P04675000,B,45
2024-01-02T18:28:32.768483833Z,SPX   240216P04725000,S,50
2024-01-02T17:38:32.489513714Z,SPX   240216P04725000,B,50
2024-01-02T21:04:24.331284070Z,SPX   240216C04950000,S,50
2024-01-02T20:05:05.670430449Z,SPX   240216C04950000,B,50
2024-01-02T20:41:20.958645004Z,SPX   240419P04450000,S,50
2024-01-02T18:18:51.434872044Z,SPX   240419P04450000,B,50
2024-01-02T20:59:50.975596428Z,SPX   240419P04750000,S,31
2024-01-02T17:36:34.447749329Z,SPX   240419P04750000,B,31
2024-01-02T20:54:20.927877198Z,SPX   240517P04850000,S,50
2024-01-02T16:48:40.828312761Z,SPX   240517P04850000,B,50
2024-01-02T20:02:45.024647305Z,SPX   240517P04500000,S,50
2024-01-02T16:38:55.860492345Z,SPX   240517P04500000,B,50
2024-01-02T19:54:31.712649532Z,SPX   240621P04750000,S,46
2024-01-02T19:47:11.094763775Z,SPX   240621P04750000,B,46
2024-01-02T19:01:41.972400869Z,SPX   240920P04450000,S,50
2024-01-02T18:42:25.246695426Z,SPX   240920P04450000,B,50
2024-01-02T15:49:23.891490804Z,SPX   240719P04475000,S,50
2024-01-02T15:01:27.056879126Z,SPX   240719P04475000,B,50
2024-01-02T17:14:09.144993825Z,SPX   240719C04875000,S,50
2024-01-02T16:13:24.749017059Z,SPX   240719C04875000,B,50
2024-01-02T18:18:31.221154941Z,SPX   240719P04550000,S,50
2024-01-02T17:44:35.478585850Z,SPX   240719P04550000,B,50
2024-01-02T20:20:53.289887274Z,SPX   240920P04400000,S,50
2024-01-02T18:10:39.682560759Z,SPX   240920P04400000,B,50
2024-01-02T20:28:51.443793154Z,SPX   240719P04175000,S,50
2024-01-02T17:02:35.446038739Z,SPX   240719P04175000,B,50
2024-01-02T20:46:04.485615747Z,SPX   240920P04425000,S,50
2024-01-02T18:46:21.570591333Z,SPX   240920P04425000,B,50
2024-01-02T20:17:50.860637561Z,SPX   240119C04775000,S,50
2024-01-02T20:06:59.506199565Z,SPX   240119C04775000,B,50
2024-01-02T20:49:45.937286643Z,SPX   240119P04625000,S,50
2024-01-02T17:46:14.110269226Z,SPX   240119P04625000,B,50
2024-01-02T20:25:42.388281969Z,SPX   240816P04425000,S,50
2024-01-02T19:45:32.755805392Z,SPX   240816P04425000,B,50
2024-01-02T20:13:24.286296903Z,SPX   240816P04400000,S,50
2024-01-02T18:52:05.261343591Z,SPX   240816P04400000,B,50
2024-01-02T20:20:47.977343912Z,SPX   240816P04225000,S,30
2024-01-02T16:52:58.738890252Z,SPX   240816P04225000,B,30
2024-01-02T19:39:10.074467849Z,SPX   240816P04100000,S,30
2024-01-02T18:47:46.578238453Z,SPX   240816P04100000,B,30
2024-01-02T20:25:33.525068857Z,SPX   240119C04730000,S,50
2024-01-02T20:16:09.482141686Z,SPX   240119C04730000,B,50
2024-01-02T20:50:04.454682726Z,SPX   240119C04840000,S,50
2024-01-02T20:39:09.471831511Z,SPX   240119C04840000,B,50
2024-01-02T18:53:14.207635988Z,SPX   240119P04770000,S,50
2024-01-02T17:36:05.117510997Z,SPX   240119P04770000,B,50
2024-01-02T19:00:17.170974421Z,SPX   240119P04740000,S,50
2024-01-02T18:34:46.536258760Z,SPX   240119P04740000,B,50
2024-01-02T20:53:16.671168719Z,SPX   240119C04810000,S,50
2024-01-02T20:13:34.609791440Z,SPX   240119C04810000,B,50
2024-01-02T20:50:02.446701953Z,SPX   240119C04820000,S,50
2024-01-02T20:13:00.960118784Z,SPX   240119C04820000,B,50
2024-01-02T19:49:53.548240982Z,SPX   240216P04720000,S,45
2024-01-02T16:40:35.474882474Z,SPX   240216P04720000,B,45
2024-01-02T19:09:22.664793572Z,SPX   240216P04770000,S,50
2024-01-02T16:53:17.912206583Z,SPX   240216P04770000,B,50
2024-01-02T16:13:08.209740278Z,SPX   240216P04810000,S,50
2024-01-02T15:02:03.026017603Z,SPX   240216P04810000,B,50
2024-01-02T20:38:46.411234218Z,SPX   241018P04275000,S,25
2024-01-02T18:27:10.471088781Z,SPX   241018P04275000,B,25
2024-01-02T19:05:17.803458021Z,SPX   241018P04200000,S,45
2024-01-02T17:37:55.204905681Z,SPX   241018P04200000,B,45
2024-01-02T20:54:58.383279036Z,SPX   240315C04780000,S,50
2024-01-02T20:02:54.599505068Z,SPX   240315C04780000,B,50
2024-01-02T20:34:09.384914884Z,SPX   240315P04740000,S,50
2024-01-02T14:38:28.374327223Z,SPX   240315P04740000,B,50
2024-01-02T19:57:14.512604426Z,SPX   240419P04875000,S,10
2024-01-02T18:03:14.671071282Z,SPX   240419P04875000,B,10
2024-01-02T19:41:10.338335225Z,SPX   240315P04680000,S,50
2024-01-02T17:57:44.074120282Z,SPX   240315P04680000,B,50
2024-01-02T20:22:28.613459220Z,SPX   241220P04825000,S,50
2024-01-02T15:14:50.892677542Z,SPX   241220P04825000,B,50
2024-01-02T20:18:22.622443987Z,SPX   240216P04565000,S,50
2024-01-02T17:29:09.860156505Z,SPX   240216P04565000,B,50
2024-01-02T21:13:03.885473758Z,SPX   240315P04790000,S,50
2024-01-02T17:39:13.830431591Z,SPX   240315P04790000,B,50
2024-01-02T20:58:59.385114883Z,SPX   240119C04745000,S,50
2024-01-02T20:53:00.359019030Z,SPX   240119C04745000,B,50
2024-01-02T19:53:06.212177384Z,SPX   240119P04715000,S,50
2024-01-02T18:29:53.543494250Z,SPX   240119P04715000,B,50
2024-01-02T18:15:01.306798472Z,SPX   240119P04685000,S,50
2024-01-02T17:36:43.626735195Z,SPX   240119P04685000,B,50
2024-01-02T19:03:50.602350395Z,SPX   240119P04745000,S,50
2024-01-02T18:03:26.289966331Z,SPX   240119P04745000,B,50
2024-01-02T16:23:34.124044529Z,SPX   240517C04860000,S,41
2024-01-02T14:50:21.634439393Z,SPX   240517C04860000,B,41
2024-01-02T20:51:43.198292372Z,SPX   240119C04835000,S,3
2024-01-02T20:07:55.592272866Z,SPX   240119C04835000,B,3
2024-01-02T20:53:30.825834617Z,SPX   240216C04920000,S,50
2024-01-02T20:36:07.801999735Z,SPX   240216C04920000,B,50
2024-01-02T20:07:46.648306102Z,SPX   240621P05175000,S,10
2024-01-02T16:10:00.541200288Z,SPX   240621P05175000,B,10
2024-01-02T21:03:36.920660076Z,SPX   240315C04785000,S,50
2024-01-02T19:40:55.210928263Z,SPX   240315C04785000,B,50
2024-01-02T20:55:02.330885760Z,SPX   240315C04845000,S,50
2024-01-02T19:44:03.485997664Z,SPX   240315C04845000,B,50
2024-01-02T20:18:22.622443987Z,SPX   240216P04705000,S,50
2024-01-02T16:16:27.144226555Z,SPX   240216P04705000,B,50
2024-01-02T17:29:24.495090869Z,SPX   240621C04490000,S,17
2024-01-02T15:37:48.228369964Z,SPX   240621C04490000,B,17
2024-01-02T20:51:55.295399202Z,SPX   241220P04000000,S,50
2024-01-02T17:41:52.777833636Z,SPX   241220P04000000,B,50
2024-01-02T20:51:18.368530079Z,SPX   241220P04300000,S,10
2024-01-02T17:36:59.277274514Z,SPX   241220P04300000,B,10
2024-01-02T20:05:50.527949880Z,SPX   241220P04800000,S,50
2024-01-02T17:36:59.277274514Z,SPX   241220P04800000,B,50
2024-01-02T20:39:11.776140555Z,SPX   240621P03950000,S,47
2024-01-02T17:51:18.055908565Z,SPX   240621P03950000,B,47
2024-01-02T20:47:22.404644508Z,SPX   240315P04250000,S,50
2024-01-02T18:47:22.267991910Z,SPX   240315P04250000,B,50
2024-01-02T20:56:08.865163516Z,SPX   240315P04600000,S,50
2024-01-02T18:47:27.742461792Z,SPX   240315P04600000,B,50
2024-01-02T20:50:02.346327894Z,SPX   240119C04800000,S,50
2024-01-02T20:08:04.082419879Z,SPX   240119C04800000,B,50
2024-01-02T20:52:24.853830358Z,SPX   240315C04750000,S,50
2024-01-02T20:21:14.150354817Z,SPX   240315C04750000,B,50
2024-01-02T20:56:29.200831850Z,SPX   240315P04550000,S,50
2024-01-02T17:39:40.602803188Z,SPX   240315P04550000,B,50
2024-01-02T18:27:21.278209850Z,SPX   240315P05000000,S,24
2024-01-02T17:43:23.574920224Z,SPX   240315P05000000,B,24
2024-01-02T20:43:17.095026251Z,SPX   240315C04700000,S,19
2024-01-02T20:14:57.993330612Z,SPX   240315C04700000,B,19
2024-01-02T20:58:45.355818149Z,SPX   240216C05000000,S,50
2024-01-02T20:13:01.270986098Z,SPX   240216C05000000,B,50
2024-01-02T18:45:27.384314273Z,SPX   240419C04500000,S,10
2024-01-02T16:22:22.148802323Z,SPX   240419C04500000,B,10
2024-01-02T19:41:30.911372313Z,SPX   240216P04550000,S,50
2024-01-02T17:40:03.825206632Z,SPX   240216P04550000,B,50
2024-01-02T15:08:00.645696915Z,SPX   240419C04800000,S,10
2024-01-02T14:46:03.612773820Z,SPX   240419C04800000,B,10
2024-01-02T20:32:12.288922674Z,SPX   240216P04300000,S,50
2024-01-02T18:37:10.029005032Z,SPX   240216P04300000,B,50
2024-01-02T20:52:49.097778947Z,SPX   240216P04500000,S,50
2024-01-02T18:44:12.129017693Z,SPX   240216P04500000,B,50
2024-01-02T20:52:59.994770853Z,SPX   240315C04775000,S,15
2024-01-02T20:08:54.053312882Z,SPX   240315C04775000,B,15
2024-01-02T20:32:23.481053380Z,SPX   240419P04400000,S,25
2024-01-02T19:04:33.024098809Z,SPX   240419P04400000,B,25
2024-01-02T20:36:11.164729303Z,SPX   240517P04525000,S,33
2024-01-02T18:17:46.366284755Z,SPX   240517P04525000,B,33
2024-01-02T19:12:14.141807195Z,SPX   240517P04650000,S,50
2024-01-02T18:42:26.860604696Z,SPX   240517P04650000,B,50
2024-01-02T20:18:41.451990495Z,SPX   240517P04800000,S,36
2024-01-02T19:08:32.094378850Z,SPX   240517P04800000,B,36
2024-01-02T20:21:02.395720813Z,SPX   240621C04750000,S,1
2024-01-02T20:06:09.011716891Z,SPX   240621C04750000,B,1
2024-01-02T19:09:37.010260715Z,SPX   240621P04375000,S,40
2024-01-02T16:56:42.593273281Z,SPX   240621P04375000,B,40
2024-01-02T17:59:41.658023112Z,SPX   241220C05150000,S,50
2024-01-02T15:38:43.947787684Z,SPX   241220C05150000,B,50
2024-01-02T20:50:41.525265441Z,SPX   240920P04475000,S,50
2024-01-02T18:55:32.791263621Z,SPX   240920P04475000,B,50
2024-01-02T20:51:40.112843753Z,SPX   240920P04800000,S,19
2024-01-02T18:42:25.246690238Z,SPX   240920P04800000,B,19
2024-01-02T20:45:27.109327620Z,SPX   240920P04850000,S,50
2024-01-02T17:54:26.266545340Z,SPX   240920P04850000,B,50
2024-01-02T21:11:12.055519333Z,SPX   240119C04875000,S,50
2024-01-02T20:17:27.985245658Z,SPX   240119C04875000,B,50
2024-01-02T19:14:47.041133477Z,SPX   240119P04775000,S,50
2024-01-02T16:34:37.463649677Z,SPX   240119P04775000,B,50
2024-01-02T20:05:13.039163657Z,SPX   240816P04175000,S,50
2024-01-02T19:30:00.912960675Z,SPX   240816P04175000,B,50
2024-01-02T18:18:56.813823643Z,SPX   240119C04660000,S,50
2024-01-02T16:00:52.242931966Z,SPX   240119C04660000,B,50
2024-01-02T20:53:30.893136880Z,SPX   240119P04710000,S,50
2024-01-02T16:49:14.310059227Z,SPX   240119P04710000,B,50
2024-01-02T20:13:34.609791440Z,SPX   240119P04590000,S,50
2024-01-02T18:02:07.671477294Z,SPX   240119P04590000,B,50
2024-01-02T14:39:48.919959778Z,SPX   240119P04620000,S,50
2024-01-02T14:36:06.732265594Z,SPX   240119P04620000,B,50
2024-01-02T20:20:47.977338954Z,SPX   240816P04750000,S,50
2024-01-02T16:52:58.738879171Z,SPX   240816P04750000,B,50
2024-01-02T16:45:32.990670272Z,SPX   240816C04900000,S,50
2024-01-02T16:24:57.699803415Z,SPX   240816C04900000,B,50
2024-01-02T16:05:47.621045586Z,SPX   240816C04775000,S,50
2024-01-02T15:58:22.003135943Z,SPX   240816C04775000,B,50
2024-01-02T21:11:01.466081922Z,SPX   240816C05275000,S,50
2024-01-02T20:36:08.108194103Z,SPX   240816C05275000,B,50
2024-01-02T20:10:07.910610959Z,SPX   240216P04530000,S,50
2024-01-02T18:41:57.258715230Z,SPX   240216P04530000,B,50
2024-01-02T20:00:21.900855874Z,SPX   240216P04420000,S,50
2024-01-02T18:28:53.786477175Z,SPX   240216P04420000,B,50
2024-01-02T18:28:39.074690303Z,SPX   240216P04690000,S,50
2024-01-02T17:41:12.815489830Z,SPX   240216P04690000,B,50
2024-01-02T20:51:45.991589908Z,SPX   240216P04760000,S,45
2024-01-02T17:06:44.420511961Z,SPX   240216P04760000,B,45
2024-01-02T20:56:01.169751008Z,SPX   250117C05250000,S,20
2024-01-02T20:24:20.647495867Z,SPX   250117C05250000,B,20
2024-01-02T20:47:37.383373985Z,SPX   250117P04900000,S,50
2024-01-02T16:34:40.740080056Z,SPX   250117P04900000,B,50
2024-01-02T17:24:23.015965832Z,SPX   240315C04580000,S,30
2024-01-02T15:14:08.093638520Z,SPX   240315C04580000,B,30
2024-01-02T19:59:02.218374615Z,SPX   240119P04585000,S,50
2024-01-02T17:29:09.860152598Z,SPX   240119P04585000,B,50
2024-01-02T20:57:32.050288250Z,SPX   241220C04675000,S,50
2024-01-02T14:49:40.568860213Z,SPX   241220C04675000,B,50
2024-01-02T17:45:26.832181669Z,SPX   241220C04550000,S,36
2024-01-02T15:34:20.857488298Z,SPX   241220C04550000,B,36
2024-01-02T20:10:14.865335350Z,SPX   241220P04850000,S,50
2024-01-02T14:41:37.073127247Z,SPX   241220P04850000,B,50
2024-01-02T19:57:14.512619165Z,SPX   240419P04310000,S,50
2024-01-02T18:03:28.810957662Z,SPX   240419P04310000,B,50
2024-01-02T19:06:47.156399794Z,SPX   240119P04635000,S,50
2024-01-02T16:47:18.439489326Z,SPX   240119P04635000,B,50
2024-01-02T19:06:47.156399794Z,SPX   240119P04655000,S,50
2024-01-02T16:47:18.439484569Z,SPX   240119P04655000,B,50
2024-01-02T20:54:56.250679178Z,SPX   240517P04875000,S,30
2024-01-02T16:48:29.046097790Z,SPX   240517P04875000,B,30
2024-01-02T21:09:30.155574277Z,SPX   240315C04790000,S,50
2024-01-02T18:53:20.129504359Z,SPX   240315C04790000,B,50
2024-01-02T20:57:19.624968678Z,SPX   240119C04755000,S,50
2024-01-02T20:54:49.554702053Z,SPX   240119C04755000,B,50
2024-01-02T20:57:09.781998704Z,SPX   240119P04705000,S,50
2024-01-02T18:37:25.035115058Z,SPX   240119P04705000,B,50
2024-01-02T20:38:30.292627547Z,SPX   240315P04745000,S,50
2024-01-02T14:32:01.523293616Z,SPX   240315P04745000,B,50
2024-01-02T20:55:02.052491964Z,SPX   240315C04940000,S,50
2024-01-02T20:41:59.022284902Z,SPX   240315C04940000,B,50
2024-01-02T16:53:48.836706278Z,SPX   241220C05550000,S,50
2024-01-02T15:32:10.753444933Z,SPX   241220C05550000,B,50
2024-01-02T20:20:30.242237442Z,SPX   240315C04765000,S,50
2024-01-02T20:16:30.537805032Z,SPX   240315C04765000,B,50
2024-01-02T20:18:28.914581419Z,SPX   240315P04755000,S,50
2024-01-02T19:19:15.377090093Z,SPX   240315P04755000,B,50
2024-01-02T18:53:53.138783399Z,SPX   240315P04795000,S,50
2024-01-02T17:46:07.430694792Z,SPX   240315P04795000,B,50
2024-01-02T19:53:31.267899641Z,SPX   240216P04745000,S,50
2024-01-02T18:03:26.289961825Z,SPX   240216P04745000,B,50
2024-01-02T17:30:16.067062835Z,SPX   240216C04865000,S,50
2024-01-02T15:37:34.416196346Z,SPX   240216C04865000,B,50
2024-01-02T17:39:43.347698423Z,SPX   240216C04885000,S,50
2024-01-02T16:16:27.120805368Z,SPX   240216C04885000,B,50
2024-01-02T20:53:30.830588010Z,SPX   240216C04915000,S,50
2024-01-02T20:10:07.910591253Z,SPX   240216C04915000,B,50
2024-01-02T17:29:24.495075559Z,SPX   240621C04470000,S,20
2024-01-02T15:37:48.228360575Z,SPX   240621C04470000,B,20
2024-01-02T20:53:28.015372268Z,SPX   241220C04600000,S,43
2024-01-02T19:53:35.701208033Z,SPX   241220C04600000,B,43
2024-01-02T20:05:06.815504700Z,SPX   240621P04100000,S,50
2024-01-02T18:30:51.714902204Z,SPX   240621P04100000,B,50
2024-01-02T20:50:10.957625134Z,SPX   240621P04600000,S,29
2024-01-02T17:50:34.533798588Z,SPX   240621P04600000,B,29
2024-01-02T21:04:35.370134184Z,SPX   240621C04700000,S,50
2024-01-02T19:23:05.967245576Z,SPX   240621C04700000,B,50
2024-01-02T21:03:29.948077281Z,SPX   240621C04800000,S,50
2024-01-02T20:13:00.882072229Z,SPX   240621C04800000,B,50
